"School","Degree.Level","Count"
"Dalhousie University","Master's Student",3
"Dalhousie University","PhD Student",1
"McMaster University","PhD Student",1
"Trent University","Master's Student",3
"Trent University","Undergraduate Student",2
"University of Alberta","Master's Student",7
"University of Alberta","PhD Student",4
"University of Alberta","Research Staff",2
"University of British Columbia","Master's Student",5
"University of Waterloo","Master's Student",13
"University of Waterloo","PhD Student",11
"University of Waterloo","Research Staff",3
"University of Waterloo","Undergraduate Student",1
